MapX,MapY,DataMapX,DataMapY,OutsiderRing,Bin,AxisPosX,AxisPosY,PosX,PosY,Similar,SizeX,sizeY
-1,2,-1,2,3,0,66.8833137114231,201.971117965698,0,0,1,3.865,3.46
0,2,0,2,3,0,63.0183137018863,201.971117965698,0,0,1,3.865,3.46
1,2,1,2,2,0,59.1533136923496,201.971117965698,0,0,1,3.865,3.46
2,2,2,2,2,0,55.2883136828128,201.971117965698,0,0,1,3.865,3.46
3,2,3,2,2,0,51.4233134348575,201.971117965698,0,0,1,3.865,3.46
4,2,4,2,1,0,47.5583136637393,201.971117965698,0,0,1,3.865,3.46
5,3,5,3,1,0,43.6905449389863,198.511117927551,0,0,1,3.865,3.46
4,3,4,3,2,0,47.5555456637788,198.511117927551,0,0,1,3.865,3.46
3,3,3,3,3,0,51.4205454348969,198.511117927551,0,0,1,3.865,3.46
2,3,2,3,3,0,55.2855456828522,198.511117927551,0,0,1,3.865,3.46
1,3,1,3,3,0,59.150545692389,198.511117927551,0,0,1,3.865,3.46
0,3,0,3,4,0,63.0155457019257,198.511117927551,0,0,1,3.865,3.46
-1,3,-1,3,4,0,66.8805457114625,198.511117927551,0,0,1,3.865,3.46
-2,3,-2,3,4,0,70.7455457209992,198.511117927551,0,0,1,3.865,3.46
-3,3,-3,3,4,0,74.6105459689545,198.511117927551,0,0,1,3.865,3.46
-4,3,-4,3,5,0,78.4755457400727,198.511117927551,0,0,1,3.865,3.46
-5,3,-5,3,5,0,82.3405464648652,198.511117927551,0,0,1,3.865,3.46
-6,3,-6,3,5,0,86.2055462359833,198.511117927551,0,0,1,3.865,3.46
-7,3,-7,3,5,0,90.0705460071015,198.511117927551,0,0,1,3.865,3.46
-8,3,-8,3,5,0,93.9355457782197,198.511117927551,0,0,1,3.865,3.46
-9,3,-9,3,5,0,97.8005455493378,198.511117927551,0,0,1,3.865,3.46
-10,3,-10,3,5,0,101.665547227805,198.511117927551,0,0,1,3.865,3.46
-11,3,-11,3,5,0,105.530545091574,198.511117927551,0,0,1,3.865,3.46
-12,3,-12,3,4,0,109.395546770041,198.511117927551,0,0,1,3.865,3.46
-13,3,-13,3,4,0,113.26054463381,198.511117927551,0,0,1,3.865,3.46
-14,3,-14,3,4,0,117.125546312277,198.511117927551,0,0,1,3.865,3.46
-15,3,-15,3,4,0,120.990544176047,198.511117927551,0,0,1,3.865,3.46
-16,3,-16,3,3,0,124.855545854514,198.511117927551,0,0,1,3.865,3.46
-17,3,-17,3,3,0,128.72054753298,198.511117927551,0,0,1,3.865,3.46
-18,3,-18,3,3,0,132.58554539675,198.511117927551,0,0,1,3.865,3.46
